"id","name","location_lat","location_lon","Cluster"
2,"2 RIO GUADALQUIVIR-RIO BALSAS",19.431386,-99.171695,2
3,"3 REFORMA-INSURGENTES",19.431655,-99.158668,2
4,"4 RIO NILO-RIO PANUCO",19.428309,-99.171713,2
5,"5 RIO PANUCO-RIO TIBER",19.42972,-99.169363,2
6,"6 RIO PANUCO-RIO SENA",19.430922,-99.166959,2
7,"7 RIO ELBA-RIO LERMA",19.425468,-99.175166,2
8,"8 REFORMA-GENERAL PRIM",19.431141,-99.158317,2
9,"9 RIO GUADALQUIVIR-RIO LERMA",19.428009,-99.169918,2
10,"10 REFORMA-RAMIREZ",19.433321,-99.154752,2
11,"11 RIO AMAZONAS-RIO LERMA",19.430992,-99.163593,2
12,"12 RIO LERMA-VILLALONGIN",19.432313,-99.161597,2
13,"13 REFORMA-RIO RODANO",19.423778,-99.175558,2
14,"14 REFORMA-RIO DE PLATA",19.424768,-99.173261,2
15,"15 REFORMA-RIO MISSISSIPPI",19.425477,-99.171567,2
16,"16 REFORMA-RIO GUADALQUIVIR",19.42653,-99.169164,2
17,"17 REFORMA-RIO TIBER",19.427501,-99.167125,2
18,"18 REFORMA-RIO SENA",19.42836,-99.165543,2
19,"19 REFORMA-RIO NEVA",19.43001,-99.161675,2
20,"20 REFORMA-RIO TAMESIS",19.430964,-99.160206,2
21,"21 REFORMA-LIEJA",19.423317,-99.175124,2
22,"22 REFORMA-MANCHESTER",19.424375,-99.172575,2
23,"23 REFORMA-PRAGA",19.425483,-99.170414,2
24,"24 REFORMA-VARSOVIA",19.426102,-99.168992,2
25,"25 REFORMA-ESTOCOLMO",19.426944,-99.166946,2
26,"26 REFORMA-VERSALLES",19.432685,-99.154726,2
27,"27 REFORMA-HAVRE",19.429115,-99.162614,2
30,"30 HAMBURGO-GENOVA",19.426442,-99.164323,2
31,"31 HAMBURGO-INSURGENTES",19.427838,-99.161193,2
32,"32 LONDRES-SEVILLA",19.422705,-99.169922,2
34,"34 LIVERPOOL-GENOVA",19.424539,-99.163503,2
35,"35 LIVERPOOL-GENOVA",19.424572,-99.163123,2
37,"37 GUADALAJARA-PUEBLA",19.420419,-99.172676,2
39,"39 MEDELLIN-CHAPULTEPEC",19.422484,-99.167153,2
42,"42 SINALOA-VALLADOLID",19.420472,-99.168238,2
43,"43 JUAREZ-REVILLAGIGEDO",19.435228,-99.146063,2
44,"44 DURANGO-VERACRUZ",19.418057,-99.174761,2
45,"45 DURANGO-SONORA",19.418649,-99.172127,2
46,"46 DURANGO-SALAMANCA",19.419214,-99.169732,2
47,"47 GLORIETA CIBELES-OAXACA",19.419515,-99.166299,2
49,"49 MAZATLAN-JUAN DE LA BARRERA",19.416712,-99.175704,2
50,"50 CUERNAVACA-VERACRUZ",19.416938,-99.173648,82
52,"52 HIDALGO-TRUJANO",19.436236,-99.142039,2
55,"55 5 DE MAYO-BOLIVAR",19.434356,-99.138064,2
56,"56 ALVARO OBREGON-MEDELLIN",19.416959,-99.165702,2
59,"59 POPOCATEPETL-AMSTERDAM",19.415121,-99.166661,2
60,"60 MAZATLAN-FERNANDO MONTES DE OCA",19.414191,-99.177123,2
63,"63 NUEVO LEON- LAREDO",19.413681,-99.171531,2
66,"66 MAZATLAN-FRANCISCO MARQUEZ",19.411402,-99.178666,2
68,"68 TAMAULIPAS-MICHOACAN",19.411556,-99.17406,2
72,"72 MAZATLAN-ALFONSO REYES",19.409893,-99.179544,2
74,"74 NUEVO LEON-OZULAMA",19.410343,-99.172831,2
75,"75 ALFONSO REYES-ATLIXCO",19.408722,-99.17669,2
76,"76 AMSTERDAM-CHILPANCINGO",19.409439,-99.170462,2
78,"78 BENJAMIN HILL-TAMAULIPAS",19.407503,-99.177382,2
79,"79 SALTILLO-ALFONSO REYES",19.407534,-99.174427,2
80,"80 NUEVO LEON-AGUASCALIENTES",19.407307,-99.172118,2
82,"82 INDEPENDENCIA-MARROQUI",19.433115,-99.143686,2
83,"83 NUEVO LEON-ALFONSO REYES",19.406296,-99.172117,2
84,"84 CHILPANCINGO-TLAXCALA",19.40702,-99.169587,2
85,"85 ROSAS MORENO-SULLIVAN",19.43425,-99.162508,2
