kappa,diff_coef_rij,diff_exp_rij,diff_coef_rnn,diff_exp_rnn
0.001,13.184382727490725,0.5006796412049419,0.04212526832786217,0.46837664457996847
0.0015,12.608086528983844,0.503914224551623,0.02408268116472616,0.5109183170157773
0.0025,11.876616116105987,0.5082117507987532,0.04667576714621842,0.46035923045426785
0.003,13.28860643365757,0.4973912865716107,0.021700799564600987,0.5289807777058683
0.0035,12.041423538203134,0.5043490251768052,0.04142730439510572,0.469324104035197
0.005,2.5376297242003805,0.6185207280496102,0.08284492521702724,0.42055426425757675
0.0075,1.7727811635362718,0.6208134733162608,0.021219123031197284,0.5185125525506824
0.01,0.8829511776252951,0.6612037924106493,0.018713866772126542,0.5324069403890561
0.025,0.2641774657548644,0.6997471672543472,0.01285486569435546,0.5644443421202993
0.05,0.08126652529932686,0.7508561232607245,0.007063065695339421,0.5959080644906731
0.075,0.05528418637308061,0.7568506045085378,0.005288802267775452,0.6048065480180624
0.1,0.05007830046686363,0.7449562368762731,0.005220561161309276,0.5918585276514393
0.25,0.0303707114999083,0.7584064892036342,0.0026986601689731717,0.6003867597985263
0.5,0.018376629552505987,0.7882477167704911,0.002569160383391964,0.5777704398330404
1,0.011259445914355603,0.8194299065622267,0.002666482327876381,0.5534721147818644
3,0.010965448311213847,0.814281315129335,0.0017824401674266528,0.5687831413349261
